MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandWidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandWidth;AbsError(read);RelError(read)
RAM;64;int;64;1;clock_gettime;0.000000;0.000000;546.541418;0.000000;58.767606%;0.000000;0.000000;597.014925;0.000000;40.773481%
RAM;64;int;64;2;clock_gettime;0.000000;0.000000;546.541418;0.000000;53.160000%;0.000000;0.000000;597.014925;0.000000;38.034682%
RAM;64;int;64;3;clock_gettime;0.000000;0.000000;546.541418;0.000000;7.063492%;0.000000;0.000000;597.014925;0.000000;14.240000%
RAM;64;int;64;4;clock_gettime;0.000000;0.000000;546.541418;0.000000;11.523810%;0.000000;0.000000;597.014925;0.000000;12.842105%
RAM;64;int;64;5;clock_gettime;0.000000;0.000000;546.541418;0.000000;0.948276%;0.000000;0.000000;597.014925;0.000000;14.042553%
RAM;64;int;64;6;clock_gettime;0.000000;0.000000;546.541418;0.000000;2.719298%;0.000000;0.000000;597.014925;0.000000;3.076923%
RAM;64;int;64;7;clock_gettime;0.000000;0.000000;546.541418;0.000000;18.282828%;0.000000;0.000000;597.014925;0.000000;3.076923%
RAM;64;int;64;8;clock_gettime;0.000000;0.000000;546.541418;0.000000;23.263158%;0.000000;0.000000;597.014925;0.000000;14.042553%
RAM;64;int;64;9;clock_gettime;0.000000;0.000000;546.541418;0.000000;21.979167%;0.000000;0.000000;597.014925;0.000000;10.515464%
RAM;64;int;64;10;clock_gettime;0.000000;0.000000;546.541418;0.000000;21.979167%;0.000000;0.000000;597.014925;0.000000;14.042553%
RAM;64;int;64;11;clock_gettime;0.000000;0.000000;546.541418;0.000000;23.263158%;0.000000;0.000000;597.014925;0.000000;2.095238%
RAM;64;int;64;12;clock_gettime;0.000000;0.000000;546.541418;0.000000;19.489796%;0.000000;0.000000;597.014925;0.000000;8.282828%
RAM;64;int;64;13;clock_gettime;0.000000;0.000000;546.541418;0.000000;27.282609%;0.000000;0.000000;597.014925;0.000000;15.268817%
RAM;64;int;64;14;clock_gettime;0.000000;0.000000;546.541418;0.000000;27.282609%;0.000000;0.000000;597.014925;0.000000;9.387755%
RAM;64;int;64;15;clock_gettime;0.000000;0.000000;546.541418;0.000000;20.721649%;0.000000;0.000000;597.014925;0.000000;8.282828%
RAM;64;int;64;16;clock_gettime;0.000000;0.000000;546.541418;0.000000;21.979167%;0.000000;0.000000;597.014925;0.000000;7.200000%
RAM;64;int;64;17;clock_gettime;0.000000;0.000000;546.541418;0.000000;14.803922%;0.000000;0.000000;597.014925;0.000000;11.666667%
